iter	Accuracy	Logloss
690	0.9894086496	0.1356427256
691	0.9894086496	0.1354433037
692	0.9894086496	0.1353789768
693	0.9894086496	0.1352372294
694	0.9894086496	0.1351612105
695	0.9894086496	0.1348722398
696	0.9894086496	0.1345205681
697	0.9894086496	0.1344783149
698	0.9902912621	0.1342721501
699	0.9902912621	0.134134567
700	0.9902912621	0.1338957837
701	0.9902912621	0.1336472247
702	0.9902912621	0.1335246636
703	0.9902912621	0.1333654871
704	0.9902912621	0.1333116867
705	0.9902912621	0.1331221088
706	0.9902912621	0.1329894203
707	0.9902912621	0.1326699599
708	0.9902912621	0.1325564803
709	0.9911738747	0.1323123443
710	0.9911738747	0.1321976595
711	0.9911738747	0.1320870682
712	0.9911738747	0.1319105157
713	0.9911738747	0.1318356799
714	0.9911738747	0.1315935979
715	0.9911738747	0.1312406671
716	0.9911738747	0.1308373327
717	0.9911738747	0.1306303485
718	0.9911738747	0.130446344
719	0.9920564872	0.130240855
720	0.9920564872	0.1300343063
721	0.9920564872	0.1297871964
722	0.9920564872	0.1296682233
723	0.9920564872	0.1295105805
724	0.9920564872	0.1292336235
725	0.9920564872	0.1290450793
726	0.9920564872	0.1290014547
727	0.9920564872	0.1288967125
728	0.9920564872	0.1288216435
729	0.9920564872	0.128652553
730	0.9920564872	0.1283994247
731	0.9920564872	0.1281059007
732	0.9920564872	0.1279026792
733	0.9920564872	0.1276585832
734	0.9920564872	0.1275665836
735	0.9920564872	0.1274886634
736	0.9920564872	0.1273419268
737	0.9920564872	0.1271153196
738	0.9920564872	0.1269529951
739	0.9920564872	0.1264043605
740	0.9920564872	0.1261343891
741	0.9920564872	0.1260037361
742	0.9920564872	0.1258877779
743	0.9920564872	0.1255121735
744	0.9920564872	0.1252567522
745	0.9929390997	0.1251649751
746	0.9920564872	0.1250614437
747	0.9920564872	0.124886012
748	0.9920564872	0.1247478143
749	0.9920564872	0.124355778
750	0.9920564872	0.1240685284
751	0.9920564872	0.1239915321
752	0.9920564872	0.1239282842
753	0.9929390997	0.1237206168
754	0.9929390997	0.1234039862
755	0.9929390997	0.1231264298
756	0.9929390997	0.1230158177
757	0.9929390997	0.1227851632
758	0.9929390997	0.1225842602
759	0.9929390997	0.1224131214
760	0.9929390997	0.1221149294
761	0.9929390997	0.1217966855
762	0.9929390997	0.1216326383
763	0.9929390997	0.1214032297
764	0.9929390997	0.1212908862
765	0.9929390997	0.1211771667
766	0.9929390997	0.1208977029
767	0.9938217123	0.1206881435
768	0.9938217123	0.1205322744
769	0.9938217123	0.1204652464
770	0.9938217123	0.1202875324
771	0.9938217123	0.1202034982
772	0.9938217123	0.1201557969
773	0.9947043248	0.1200627387
774	0.9947043248	0.1198764056
775	0.9938217123	0.1197002967
